Name,Species,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite Song,Style 1,Style 2,Color 1,Color 2,Wallpaper,Flooring,Furniture List,Filename,Unique Entry ID,image
Admiral,Bird,Male,Cranky,Nature,27-Jan,aye aye,Steep Hill,Cool,Cool,Black,Blue,dirt-clod wall,tatami,717;1849;7047;2736;787;5970;3449;3622;3802;4106;3438;4029,brd06,B3RyfNEqwGmcccRC3,https://lh3.googleusercontent.com/docsubipk/AJV0LNumUwPAmkDGWKXCmzabp0E2-2KDilw_t9fIYS6LRlA7My3-NcE8vP_nS5O8yTwoeggy3E4DOJq8nPVIozJsMbyAyMXyLyz_lbmxz5p0RvAE=s75-w75-h74
Agent S,Squirrel,Female,Peppy,Fitness,2-Jul,sidekick,Go K.K. Rider,Active,Simple,Blue,Black,concrete wall,colorful tile flooring,7845;7150;3468;4080;290;3971;3449;1708;4756;2560;4753;7323;7789,squ05,SGMdki6dzpDZyXAw5,https://lh3.googleusercontent.com/docsubipk/AJV0LNvNakGyHD4cT22L1C0Pp0wA9RlkEE6ntaetxTnlDshHgWC7BYcFv3oFiawdpOelPAHvf1agK54PwiUV9IMpIz8QtAmlVV1hx8bf8fqYRPkS=s75-w75-h74
Agnes,Pig,Female,Big Sister,Play,21-Apr,snuffle,K.K. House,Simple,Elegant,Pink,White,gray molded-panel wall,arabesque flooring,4129;7236;7235;7802;896;3428;4027;7325;3958;7136;3951;3773;7801,pig17,jzWCiDPm9MqtCfecP,https://lh3.googleusercontent.com/docsubipk/AJV0LNuS7qPr3rgWTrE9-6yCm7NEKi74UORu6--pvRYCt3nQuPQ08SONDUQNRf_ls2BKYVkN78aAq5cG0BSyYuKZ9BcByVpoXOvpe1gGZd3Vuxph=s75-w75-h74
Al,Gorilla,Male,Lazy,Fitness,18-Oct,ayyyeee,Go K.K. Rider,Active,Active,Red,White,concrete wall,green rubber flooring,1452;4078;4013;833;4116;3697;7845;3307;3946;3960;7800,gor08,LBifxETQJGEaLhBjC,https://lh3.googleusercontent.com/docsubipk/AJV0LNs4rieM1mlPfQ0iSySxvREYzZF_b33lZ_wLknGrsDJFfmuujm99mdeh7kRfJo9zGJqlx4uFjULcxQcD7JMaySLVRu1Oc8aC5oivHUZUlcU=s75-w75-h74
Alfonso,Alligator,Male,Lazy,Play,9-Jun,it'sa me,Forest Life,Simple,Simple,Red,Blue,yellow playroom wall,green honeycomb tile,4763;3205;3701;1557;3623;85;3208;3584;4761;1217;3702,crd00,REpd8KxB8p9aGBRSE,https://lh3.googleusercontent.com/docsubipk/AJV0LNsOr2m4fFXYV5dcVcNds1gLAyqEAATvWcv-UbADZvXWdvPRyKsrtYiemxw5Bn9QJ2sfsAqYWlzXM6KIw_BK6vEtcfrES2UugxH4A8MO5rQ=s75-w75-h74
Alice,Koala,Female,Normal,Education,19-Aug,guvnor,Aloha K.K.,Cute,Cute,Red,Pink,white botanical-tile wall,light parquet flooring,4052;4054;4129;4053;4049;3615;4051;7353;4130;3428;4046;4338,kal01,wkPJDHMMMTK24eqzC,https://lh3.googleusercontent.com/docsubipk/AJV0LNvZg3zyBHtgkaGJ9fiJ6IG98WTkrBb9RsGTvhPERBcaRVyrHrCvboXsb5V0ALt-BjAedb9XjD86tE_-lgBbc9Fz4kkZ5iSL00nToQ5-y8Kn=s75-w75-h74
Alli,Alligator,Female,Snooty,Fashion,8-Nov,graaagh,K.K. Soul,Gorgeous,Elegant,Yellow,Brown,woodland wall,rosewood flooring,4051;4054;790;4046;4049;4053;1836;4052;4014;3775,crd01,dcB3BpFLtcXHAbt5i,https://lh3.googleusercontent.com/docsubipk/AJV0LNugMxXa5sBDUmKTebLMyRV5IjKp6a0kHQVAdRYoduMc0dKcGFf7IcXTBfp2GilJYr1xwRvGxKFG2_fehvf6Wyy3-0oHpO-B_KBRDjI-JZqr=s75-w75-h74
Amelia,Eagle,Female,Snooty,Music,19-Nov,cuz,K.K. Condor,Cool,Elegant,Black,White,summit wall,common flooring,4043;4042;4041;794;383;9313;4044;4036;4393;3229;4123,pbr01,gWpcHhfpuN4MSTdhF,https://lh3.googleusercontent.com/docsubipk/AJV0LNvjXcsk3Ld44aQn19qQ-aVI-LSUsJV2_WataHsN9k4-VbN7LuogkI7rgmQ5uzIQIUOj7J943oQSNL5gOkfUL62g9S6js1pn6g2QdtaRmzY=s75-w75-h74
Anabelle,Anteater,Female,Peppy,Fashion,16-Feb,snorty,Aloha K.K.,Cute,Simple,Green,Blue,green painted-wood wall,yellow floral flooring,1913;1227;3995;2713;3490;3439;957;3697;3438;1838;2605;3270;4019;3431,ant03,gvdKbp6t9xMtx5swT,https://lh3.googleusercontent.com/docsubipk/AJV0LNtXm3nWHYpN-OfEVEnOfS4tWDpgngc46PcDvIs_kQFaAKI6Xr9xEfq4iGf224L2wJlxTf9ZMyWopkw7ShcvhQxAejYQqXB9_Lhz1Ch2RDE0=s75-w75-h74
Anchovy,Bird,Male,Lazy,Play,4-Mar,chuurp,K.K. Ragtime,Simple,Simple,Colorful,Orange,modern wood wall,simple red flooring,863;791;937;1177;3681;1081;1087;4014;1853;1852;1852,brd02,T9ya79MPxRxcR4tae,https://lh3.googleusercontent.com/docsubipk/AJV0LNs1ACjYDJR4Ld0KABBzXAk4R2xZYmTWO4PYYyMstXkwFFmAMiXG63g_MDD7dWQMdOnBdqRBEUOQVt3s_9aiOmAaGKRdoKM8JJUbDDVO5hOv=s75-w75-h74
